 
6 LOW SONAR CONFIDENCE 
7 GPS SIGNAL LOST 
11 LOW SONAR CONFIDENCE 
12 GPS SIGNAL LOST 
17 GPS SIGNAL LOST 
22 GPS SIGNAL LOST 
27 GPS SIGNAL LOST 
28 LOW SONAR CONFIDENCE 
32 GPS SIGNAL LOST 
33 LOW SONAR CONFIDENCE 
37 GPS SIGNAL LOST 
48 LOW SONAR CONFIDENCE 
53 LOW SONAR CONFIDENCE 
58 LOW SONAR CONFIDENCE 
63 LOW SONAR CONFIDENCE 
68 LOW SONAR CONFIDENCE 
74 LOW SONAR CONFIDENCE 
79 LOW SONAR CONFIDENCE 
84 LOW SONAR CONFIDENCE 
89 LOW SONAR CONFIDENCE 
95 LOW SONAR CONFIDENCE 
100 LOW SONAR CONFIDENCE 
105 LOW SONAR CONFIDENCE 
120 CAN'T REACH TARGET HEADING 
125 CAN'T REACH TARGET HEADING 
372 CAN'T REACH TARGET HEADING 
377 CAN'T REACH TARGET HEADING 
382 CAN'T REACH TARGET HEADING 
387 CAN'T REACH TARGET HEADING 
392 CAN'T REACH TARGET HEADING 
397 CAN'T REACH TARGET HEADING 
403 CAN'T REACH TARGET HEADING 
408 CAN'T REACH TARGET HEADING 
413 CAN'T REACH TARGET HEADING 
418 CAN'T REACH TARGET HEADING 
423 CAN'T REACH TARGET HEADING 
428 CAN'T REACH TARGET HEADING 
433 CAN'T REACH TARGET HEADING 
438 CAN'T REACH TARGET HEADING 
443 CAN'T REACH TARGET HEADING 
448 CAN'T REACH TARGET HEADING 
453 CAN'T REACH TARGET HEADING 
458 CAN'T REACH TARGET HEADING 
463 CAN'T REACH TARGET HEADING 
468 CAN'T REACH TARGET HEADING 
474 CAN'T REACH TARGET HEADING 
479 CAN'T REACH TARGET HEADING 
484 CAN'T REACH TARGET HEADING 
489 CAN'T REACH TARGET HEADING 
494 CAN'T REACH TARGET HEADING 
499 CAN'T REACH TARGET HEADING 
504 CAN'T REACH TARGET HEADING 
510 CAN'T REACH TARGET HEADING 
515 CAN'T REACH TARGET HEADING 
520 CAN'T REACH TARGET HEADING 
525 CAN'T REACH TARGET HEADING 
530 CAN'T REACH TARGET HEADING 
535 CAN'T REACH TARGET HEADING 
540 CAN'T REACH TARGET HEADING 
545 CAN'T REACH TARGET HEADING 
551 CAN'T REACH TARGET HEADING 
556 CAN'T REACH TARGET HEADING 
561 CAN'T REACH TARGET HEADING 
566 CAN'T REACH TARGET HEADING 
571 CAN'T REACH TARGET HEADING 
576 CAN'T REACH TARGET HEADING 
1765 CAN'T REACH TARGET HEADING 
1770 CAN'T REACH TARGET HEADING 
1776 CAN'T REACH TARGET HEADING 
1781 CAN'T REACH TARGET HEADING 
1786 CAN'T REACH TARGET HEADING 
1791 CAN'T REACH TARGET HEADING 
1796 CAN'T REACH TARGET HEADING 
1801 CAN'T REACH TARGET HEADING 
1806 CAN'T REACH TARGET HEADING 
1811 CAN'T REACH TARGET HEADING 
1816 CAN'T REACH TARGET HEADING 
1822 CAN'T REACH TARGET HEADING 
1827 CAN'T REACH TARGET HEADING 
1832 CAN'T REACH TARGET HEADING 
1837 CAN'T REACH TARGET HEADING 
1842 CAN'T REACH TARGET HEADING 
1847 CAN'T REACH TARGET HEADING 
1852 CAN'T REACH TARGET HEADING 
1857 CAN'T REACH TARGET HEADING 
1862 CAN'T REACH TARGET HEADING 
1867 CAN'T REACH TARGET HEADING 
1872 CAN'T REACH TARGET HEADING 
1878 CAN'T REACH TARGET HEADING 
1883 CAN'T REACH TARGET HEADING 
1888 CAN'T REACH TARGET HEADING 
1893 CAN'T REACH TARGET HEADING 
1898 CAN'T REACH TARGET HEADING 
1903 CAN'T REACH TARGET HEADING 
1908 CAN'T REACH TARGET HEADING 
1913 CAN'T REACH TARGET HEADING 
1918 CAN'T REACH TARGET HEADING 
1923 CAN'T REACH TARGET HEADING 
1928 CAN'T REACH TARGET HEADING 
